2032000	11.136719	768	7.980469	640	2030	768	91	0.6875	12	30775700	779.136719	647.980469																																																																																																																										
2033000	7.0625	768	3.429688	640	2031	768	91	0.6875	12	30776700	775.0625	643.429688																																																																																																																										
2034000	3.539063	768	63.511719	576	2032	768	91	0.6875	12	30777700	771.539063	639.511719																																																																																																																										
2035000	63.707031	704	59.296875	576	2033	768	91	0.6875	12	30778700	767.707031	635.296875																																																																																																																										
2036000	59.863281	704	54.992188	576	2034	768	91	0.6875	12	30779700	763.863281	630.992188																																																																																																																										
2037000	56.289063	704	51.09375	576	2035	768	91	0.6875	12	30780700	760.289063	627.09375																																																																																																																										
2038000	52.121094	704	46.5	576	2036	768	91	0.6875	12	30781700	756.121094	622.5																																																																																																																										
2039000	48.710938	704	42.679688	576	2037	768	91	0.6875	12	30782700	752.710938	618.679688																																																																																																																										
2040000	44.734375	704	38.167969	576	2038	768	91	0.6875	12	30783700	748.734375	614.167969																																																																																																																										
2041000	41.179688	704	34.210938	576	2039	768	91	0.6875	12	30784700	745.179688	610.210938																																																																																																																										
2042000	37.492188	704	30.046875	576	2040	768	91	0.6875	12	30785700	741.492188	606.046875																																																																																																																										
2043000	33.550781	704	25.675781	576	2041	768	91	0.6875	12	30786700	737.550781	601.675781																																																																																																																										
2044000	30.050781	704	21.824219	576	2042	768	91	0.6875	12	30787700	734.050781	597.824219																																																																																																																										
2045000	25.886719	704	17.363281	576	2043	768	91	0.6875	12	30788700	729.886719	593.363281																																																																																																																										
2046000	22.429688	704	13.636719	576	2044	768	91	0.6875	12	30789700	726.429688	589.636719																																																																																																																										
2047000	18.386719	704	9.402344	576	2045	768	91	0.6875	12	30790700	722.386719	585.402344																																																																																																																										
2048000	14.6875	704	5.511719	576	2046	768	91	0.6875	12	30791700	718.6875	581.511719																																																																																																																										
2049000	10.910156	704	1.570313	576	2047	768	91	0.6875	12	30792700	714.910156	577.570313																																																																																																																										
2050000	6.855469	704	61.347656	512	2048	768	91	0.6875	12	30793700	710.855469	573.347656																																																																																																																										
2051000	3.324219	704	57.613281	512	2049	768	91	0.6875	12	30794700	707.324219	569.613281																																																																																																																										
2052000	63.113281	640	53.222656	512	2050	768	91	0.6875	12	30795700	703.113281	565.222656																																																																																																																										
2053000	59.671875	640	49.578125	512	2051	768	91	0.6875	12	30796700	699.671875	561.578125																																																																																																																										
2054000	55.71875	640	45.371094	512	2052	768	91	0.6875	12	30797700	695.71875	557.371094																																																																																																																										
2055000	52.027344	640	41.539063	512	2053	768	91	0.6875	12	30798700	692.027344	553.539063																																																																																																																										
2056000	48.363281	640	37.621094	512	2054	768	91	0.6875	12	30799700	688.363281	549.621094																																																																																																																										
2057000	44.398438	640	33.367188	512	2055	768	91	0.6875	12	30800700	684.398438	545.367188																																																																																																																										
2058000	40.921875	640	29.65625	512	2056	768	91	0.6875	12	30801700	680.921875	541.65625																																																																																																																										
2059000	36.789063	640	25.308594	512	2057	768	91	0.6875	12	30802700	676.789063	537.308594																																																																																																																										
2060000	33.367188	640	21.722656	512	2058	768	91	0.6875	12	30803700	673.367188	533.722656																																																																																																																										
2061000	29.445313	640	17.597656	512	2059	768	91	0.6875	12	30804700	669.445313	529.597656																																																																																																																										
2062000	25.757813	640	13.664063	512	2060	768	91	0.6875	12	30805700	665.757813	525.664063																																																																																																																										
2063000	22.183594	640	9.761719	512	2061	768	91	0.6875	12	30806700	662.183594	521.761719																																																																																																																										
2064000	18.171875	640	5.417969	512	2062	768	91	0.6875	12	30807700	658.171875	517.417969																																																																																																																										
2065000	14.761719	640	1.722656	512	2063	768	91	0.6875	12	30808700	654.761719	513.722656																																																																																																																										
